group,rna_lt10_rate,dna_lt10_rate,both_lt10_rate,rna_lt10_dna_ge10_rate,rna_lt10_with_dna_ge10_fraction
Control,0.381103515625,0.0224609375,0.0224609375,0.358642578125,0.9410634208840487
NonControl,0.829368246561886,0.5312691859037328,0.5312691859037328,0.2980990606581532,0.35942907374849636
