,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Allele,Striatum_interaction,Hippocampus_interaction,Cortex_interaction
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_1,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,1,1_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_2,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,2,2_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_3,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,3,3_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_4,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,4,4_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_5,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,5,5_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_6,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,6,6_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_7,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,7,7_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_8,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,8,8_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_9,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,9,9_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_10,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,10,10_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_11,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,11,11_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_12,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,12,12_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_13,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,13,13_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_14,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,14,14_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_15,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,15,15_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_16,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,16,16_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_17,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,17,17_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_18,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,18,18_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
