,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_1,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,1,1_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_2,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,2,2_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_3,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,3,3_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_4,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,4,4_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_5,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,5,5_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_6,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,6,6_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_7,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,7,7_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_8,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,8,8_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_9,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,9,9_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT
ZC100R-MPRA3-AP1134-26-Striatum_ALT_Barcode_10,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,10,10_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT
