,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Allele,Striatum_interaction,Hippocampus_interaction,Cortex_interaction
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_3,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,3,3_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_4,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,4,4_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_5,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,5,5_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_6,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,6,6_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_7,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,7,7_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_8,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,8,8_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_9,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,9,9_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_10,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,10,10_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_11,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,11,11_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_12,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,12,12_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_13,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,13,13_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_14,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,14,14_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_15,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,15,15_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_16,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,16,16_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_17,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,17,17_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_18,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,18,18_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_19,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,19,19_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_20,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,20,20_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_21,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,21,21_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_22,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,22,22_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_23,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,23,23_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_24,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,24,24_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_25,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,25,25_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_26,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,26,26_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_27,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,27,27_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_28,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,28,28_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_29,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,29,29_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_30,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,30,30_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
