,Tissue,Delivery,Date,Animal,Test,Function,Parent,Purification,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
Naive_HEK293T_ZC65_R_ALT_Barcode_23,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,23,23_ALT,ALT,Naive_HEK293T_ZC65_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC65_R_ALT_Barcode_24,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,24,24_ALT,ALT,Naive_HEK293T_ZC65_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC65_R_ALT_Barcode_25,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,25,25_ALT,ALT,Naive_HEK293T_ZC65_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC65_R_ALT_Barcode_26,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,26,26_ALT,ALT,Naive_HEK293T_ZC65_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC65_R_ALT_Barcode_27,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,27,27_ALT,ALT,Naive_HEK293T_ZC65_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC65_R_ALT_Barcode_28,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,28,28_ALT,ALT,Naive_HEK293T_ZC65_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC65_R_ALT_Barcode_29,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,29,29_ALT,ALT,Naive_HEK293T_ZC65_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC65_R_ALT_Barcode_30,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,30,30_ALT,ALT,Naive_HEK293T_ZC65_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC65_R_ALT_Barcode_31,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,31,31_ALT,ALT,Naive_HEK293T_ZC65_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC65_R_ALT_Barcode_32,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,32,32_ALT,ALT,Naive_HEK293T_ZC65_R_ALT,HEK293T_ALT,HEK293T_ALT
