,Tissue,Delivery,Date,Animal,Test,Function,Parent,IFNB,IFNG,LPSIFNG,Naive_Macrophage,Column_Purification,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
Naive_HMC3Col_ZC72_R_motif_Barcode_1,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0,0,0,1,1,1,1otif,tif,Naive_HMC3Col_ZC72_R_tif,HMC3_tif,HMC3_Naive_tif,motif
Naive_HMC3Col_ZC72_R_motif_Barcode_2,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0,0,0,1,1,2,2otif,tif,Naive_HMC3Col_ZC72_R_tif,HMC3_tif,HMC3_Naive_tif,motif
Naive_HMC3Col_ZC72_R_motif_Barcode_3,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0,0,0,1,1,3,3otif,tif,Naive_HMC3Col_ZC72_R_tif,HMC3_tif,HMC3_Naive_tif,motif
Naive_HMC3Col_ZC72_R_motif_Barcode_4,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0,0,0,1,1,4,4otif,tif,Naive_HMC3Col_ZC72_R_tif,HMC3_tif,HMC3_Naive_tif,motif
Naive_HMC3Col_ZC72_R_motif_Barcode_5,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0,0,0,1,1,5,5otif,tif,Naive_HMC3Col_ZC72_R_tif,HMC3_tif,HMC3_Naive_tif,motif
Naive_HMC3Col_ZC72_R_motif_Barcode_6,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0,0,0,1,1,6,6otif,tif,Naive_HMC3Col_ZC72_R_tif,HMC3_tif,HMC3_Naive_tif,motif
Naive_HMC3Col_ZC72_R_motif_Barcode_7,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0,0,0,1,1,7,7otif,tif,Naive_HMC3Col_ZC72_R_tif,HMC3_tif,HMC3_Naive_tif,motif
Naive_HMC3Col_ZC72_R_motif_Barcode_8,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0,0,0,1,1,8,8otif,tif,Naive_HMC3Col_ZC72_R_tif,HMC3_tif,HMC3_Naive_tif,motif
Naive_HMC3Col_ZC72_R_motif_Barcode_9,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0,0,0,1,1,9,9otif,tif,Naive_HMC3Col_ZC72_R_tif,HMC3_tif,HMC3_Naive_tif,motif
Naive_HMC3Col_ZC72_R_motif_Barcode_10,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0,0,0,1,1,10,10otif,tif,Naive_HMC3Col_ZC72_R_tif,HMC3_tif,HMC3_Naive_tif,motif
Naive_HMC3Col_ZC72_R_motif_Barcode_11,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0,0,0,1,1,11,11otif,tif,Naive_HMC3Col_ZC72_R_tif,HMC3_tif,HMC3_Naive_tif,motif
Naive_HMC3Col_ZC72_R_motif_Barcode_12,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0,0,0,1,1,12,12otif,tif,Naive_HMC3Col_ZC72_R_tif,HMC3_tif,HMC3_Naive_tif,motif
Naive_HMC3Col_ZC72_R_motif_Barcode_13,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0,0,0,1,1,13,13otif,tif,Naive_HMC3Col_ZC72_R_tif,HMC3_tif,HMC3_Naive_tif,motif
Naive_HMC3Col_ZC72_R_motif_Barcode_14,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0,0,0,1,1,14,14otif,tif,Naive_HMC3Col_ZC72_R_tif,HMC3_tif,HMC3_Naive_tif,motif
Naive_HMC3Col_ZC72_R_motif_Barcode_15,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0,0,0,1,1,15,15otif,tif,Naive_HMC3Col_ZC72_R_tif,HMC3_tif,HMC3_Naive_tif,motif
Naive_HMC3Col_ZC72_R_ref_Barcode_1,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0,0,0,1,1,1,1_ref,ref,Naive_HMC3Col_ZC72_R_ref,HMC3_ref,HMC3_Naive_ref,Allele
Naive_HMC3Col_ZC72_R_ref_Barcode_2,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3Col_ZC72_R,Immune,HMC3_Microglia,0,0,0,1,1,2,2_ref,ref,Naive_HMC3Col_ZC72_R_ref,HMC3_ref,HMC3_Naive_ref,Allele
