,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,IFNB,IFNG,LPSIFNG,Naive_Macrophage,Column_Purification,THP1_Monocytes,Purification,Barcode_Allele_Parent,Barcode_Allele_Animal,Allele_Animal
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_1,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,1,1_ALT,ALT,,,,,,,,1_ALT_Brain,1_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_2,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,2,2_ALT,ALT,,,,,,,,2_ALT_Brain,2_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_3,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,3,3_ALT,ALT,,,,,,,,3_ALT_Brain,3_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_4,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,4,4_ALT,ALT,,,,,,,,4_ALT_Brain,4_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_5,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,5,5_ALT,ALT,,,,,,,,5_ALT_Brain,5_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_6,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,6,6_ALT,ALT,,,,,,,,6_ALT_Brain,6_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_7,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,7,7_ALT,ALT,,,,,,,,7_ALT_Brain,7_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_8,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,8,8_ALT,ALT,,,,,,,,8_ALT_Brain,8_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_9,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,9,9_ALT,ALT,,,,,,,,9_ALT_Brain,9_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_10,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,10,10_ALT,ALT,,,,,,,,10_ALT_Brain,10_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_11,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,11,11_ALT,ALT,,,,,,,,11_ALT_Brain,11_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_12,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,12,12_ALT,ALT,,,,,,,,12_ALT_Brain,12_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_13,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,13,13_ALT,ALT,,,,,,,,13_ALT_Brain,13_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_14,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,14,14_ALT,ALT,,,,,,,,14_ALT_Brain,14_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_15,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,15,15_ALT,ALT,,,,,,,,15_ALT_Brain,15_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_16,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,16,16_ALT,ALT,,,,,,,,16_ALT_Brain,16_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_17,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,17,17_ALT,ALT,,,,,,,,17_ALT_Brain,17_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_18,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,18,18_ALT,ALT,,,,,,,,18_ALT_Brain,18_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_19,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,19,19_ALT,ALT,,,,,,,,19_ALT_Brain,19_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_20,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,20,20_ALT,ALT,,,,,,,,20_ALT_Brain,20_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_21,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,21,21_ALT,ALT,,,,,,,,21_ALT_Brain,21_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_22,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,22,22_ALT,ALT,,,,,,,,22_ALT_Brain,22_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_23,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,23,23_ALT,ALT,,,,,,,,23_ALT_Brain,23_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_24,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,24,24_ALT,ALT,,,,,,,,24_ALT_Brain,24_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_25,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,25,25_ALT,ALT,,,,,,,,25_ALT_Brain,25_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_26,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,26,26_ALT,ALT,,,,,,,,26_ALT_Brain,26_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_27,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,27,27_ALT,ALT,,,,,,,,27_ALT_Brain,27_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_28,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,28,28_ALT,ALT,,,,,,,,28_ALT_Brain,28_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_29,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,29,29_ALT,ALT,,,,,,,,29_ALT_Brain,29_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_30,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,30,30_ALT,ALT,,,,,,,,30_ALT_Brain,30_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_31,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,31,31_ALT,ALT,,,,,,,,31_ALT_Brain,31_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_32,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,32,32_ALT,ALT,,,,,,,,32_ALT_Brain,32_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_1,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,1,1_REF,REF,,,,,,,,1_REF_Brain,1_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_2,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,2,2_REF,REF,,,,,,,,2_REF_Brain,2_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_3,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,3,3_REF,REF,,,,,,,,3_REF_Brain,3_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_4,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,4,4_REF,REF,,,,,,,,4_REF_Brain,4_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_5,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,5,5_REF,REF,,,,,,,,5_REF_Brain,5_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_6,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,6,6_REF,REF,,,,,,,,6_REF_Brain,6_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_7,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,7,7_REF,REF,,,,,,,,7_REF_Brain,7_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_8,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,8,8_REF,REF,,,,,,,,8_REF_Brain,8_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_9,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,9,9_REF,REF,,,,,,,,9_REF_Brain,9_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_10,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,10,10_REF,REF,,,,,,,,10_REF_Brain,10_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_11,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,11,11_REF,REF,,,,,,,,11_REF_Brain,11_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_12,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,12,12_REF,REF,,,,,,,,12_REF_Brain,12_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_13,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,13,13_REF,REF,,,,,,,,13_REF_Brain,13_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_14,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,14,14_REF,REF,,,,,,,,14_REF_Brain,14_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_15,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,15,15_REF,REF,,,,,,,,15_REF_Brain,15_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_16,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,16,16_REF,REF,,,,,,,,16_REF_Brain,16_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_17,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,17,17_REF,REF,,,,,,,,17_REF_Brain,17_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_18,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,18,18_REF,REF,,,,,,,,18_REF_Brain,18_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_19,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,19,19_REF,REF,,,,,,,,19_REF_Brain,19_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_20,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,20,20_REF,REF,,,,,,,,20_REF_Brain,20_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_21,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,21,21_REF,REF,,,,,,,,21_REF_Brain,21_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_22,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,22,22_REF,REF,,,,,,,,22_REF_Brain,22_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_23,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,23,23_REF,REF,,,,,,,,23_REF_Brain,23_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_24,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,24,24_REF,REF,,,,,,,,24_REF_Brain,24_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_25,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,25,25_REF,REF,,,,,,,,25_REF_Brain,25_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_26,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,26,26_REF,REF,,,,,,,,26_REF_Brain,26_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_27,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,27,27_REF,REF,,,,,,,,27_REF_Brain,27_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_28,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,28,28_REF,REF,,,,,,,,28_REF_Brain,28_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_29,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,29,29_REF,REF,,,,,,,,29_REF_Brain,29_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_30,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,30,30_REF,REF,,,,,,,,30_REF_Brain,30_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_31,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,31,31_REF,REF,,,,,,,,31_REF_Brain,31_REF_AP1134,REF_AP1134
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_32,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,32,32_REF,REF,,,,,,,,32_REF_Brain,32_REF_AP1134,REF_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,1,1_ALT,ALT,,,,,,,,1_ALT_Brain,1_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,2,2_ALT,ALT,,,,,,,,2_ALT_Brain,2_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,3,3_ALT,ALT,,,,,,,,3_ALT_Brain,3_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,4,4_ALT,ALT,,,,,,,,4_ALT_Brain,4_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,5,5_ALT,ALT,,,,,,,,5_ALT_Brain,5_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_6,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,6,6_ALT,ALT,,,,,,,,6_ALT_Brain,6_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_7,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,7,7_ALT,ALT,,,,,,,,7_ALT_Brain,7_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_8,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,8,8_ALT,ALT,,,,,,,,8_ALT_Brain,8_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_9,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,9,9_ALT,ALT,,,,,,,,9_ALT_Brain,9_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_10,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,10,10_ALT,ALT,,,,,,,,10_ALT_Brain,10_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_11,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,11,11_ALT,ALT,,,,,,,,11_ALT_Brain,11_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_12,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,12,12_ALT,ALT,,,,,,,,12_ALT_Brain,12_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_13,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,13,13_ALT,ALT,,,,,,,,13_ALT_Brain,13_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_14,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,14,14_ALT,ALT,,,,,,,,14_ALT_Brain,14_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_15,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,15,15_ALT,ALT,,,,,,,,15_ALT_Brain,15_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_16,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,16,16_ALT,ALT,,,,,,,,16_ALT_Brain,16_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_17,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,17,17_ALT,ALT,,,,,,,,17_ALT_Brain,17_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_18,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,18,18_ALT,ALT,,,,,,,,18_ALT_Brain,18_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_19,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,19,19_ALT,ALT,,,,,,,,19_ALT_Brain,19_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_20,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,20,20_ALT,ALT,,,,,,,,20_ALT_Brain,20_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_21,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,21,21_ALT,ALT,,,,,,,,21_ALT_Brain,21_ALT_AP1134,ALT_AP1134
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_22,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0.0,1.0,0.0,AP1134Hippocampus,22,22_ALT,ALT,,,,,,,,22_ALT_Brain,22_ALT_AP1134,ALT_AP1134
