,Tissue,Delivery,Date,Animal,Test,Function,Parent,IFNB,IFNG,LPSIFNG,Naive_Macrophage,Column_Purification,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
IFNB_HMC3Col_ZC74_R_motif_Barcode_11,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,11,11otif,tif,IFNB_HMC3Col_ZC74_R_tif,HMC3_tif,HMC3_IFNB_tif,motif
IFNB_HMC3Col_ZC74_R_motif_Barcode_12,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,12,12otif,tif,IFNB_HMC3Col_ZC74_R_tif,HMC3_tif,HMC3_IFNB_tif,motif
IFNB_HMC3Col_ZC74_R_motif_Barcode_13,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,13,13otif,tif,IFNB_HMC3Col_ZC74_R_tif,HMC3_tif,HMC3_IFNB_tif,motif
IFNB_HMC3Col_ZC74_R_motif_Barcode_14,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,14,14otif,tif,IFNB_HMC3Col_ZC74_R_tif,HMC3_tif,HMC3_IFNB_tif,motif
IFNB_HMC3Col_ZC74_R_motif_Barcode_15,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,15,15otif,tif,IFNB_HMC3Col_ZC74_R_tif,HMC3_tif,HMC3_IFNB_tif,motif
IFNB_HMC3Col_ZC74_R_ref_Barcode_1,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,1,1_ref,ref,IFNB_HMC3Col_ZC74_R_ref,HMC3_ref,HMC3_IFNB_ref,Allele
IFNB_HMC3Col_ZC74_R_ref_Barcode_2,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,2,2_ref,ref,IFNB_HMC3Col_ZC74_R_ref,HMC3_ref,HMC3_IFNB_ref,Allele
IFNB_HMC3Col_ZC74_R_ref_Barcode_3,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,3,3_ref,ref,IFNB_HMC3Col_ZC74_R_ref,HMC3_ref,HMC3_IFNB_ref,Allele
IFNB_HMC3Col_ZC74_R_ref_Barcode_4,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,4,4_ref,ref,IFNB_HMC3Col_ZC74_R_ref,HMC3_ref,HMC3_IFNB_ref,Allele
IFNB_HMC3Col_ZC74_R_ref_Barcode_5,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,5,5_ref,ref,IFNB_HMC3Col_ZC74_R_ref,HMC3_ref,HMC3_IFNB_ref,Allele
