,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
ZC104-MPRA3-AP1120-26-Striatum_motif_Barcode_2,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,2,2otif,tif,ZC104R-MPRA3-AP1120-26-Striatum_tif,AP1120_tif,Striatum_tif,motif
ZC104-MPRA3-AP1120-26-Striatum_motif_Barcode_3,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,3,3otif,tif,ZC104R-MPRA3-AP1120-26-Striatum_tif,AP1120_tif,Striatum_tif,motif
ZC104-MPRA3-AP1120-26-Striatum_motif_Barcode_4,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,4,4otif,tif,ZC104R-MPRA3-AP1120-26-Striatum_tif,AP1120_tif,Striatum_tif,motif
ZC104-MPRA3-AP1120-26-Striatum_motif_Barcode_5,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,5,5otif,tif,ZC104R-MPRA3-AP1120-26-Striatum_tif,AP1120_tif,Striatum_tif,motif
ZC104-MPRA3-AP1120-26-Striatum_ref_Barcode_1,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,1,1_ref,ref,ZC104R-MPRA3-AP1120-26-Striatum_ref,AP1120_ref,Striatum_ref,Allele
ZC104-MPRA3-AP1120-26-Striatum_ref_Barcode_2,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,2,2_ref,ref,ZC104R-MPRA3-AP1120-26-Striatum_ref,AP1120_ref,Striatum_ref,Allele
ZC104-MPRA3-AP1120-26-Striatum_ref_Barcode_3,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,3,3_ref,ref,ZC104R-MPRA3-AP1120-26-Striatum_ref,AP1120_ref,Striatum_ref,Allele
ZC104-MPRA3-AP1120-26-Striatum_ref_Barcode_4,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,4,4_ref,ref,ZC104R-MPRA3-AP1120-26-Striatum_ref,AP1120_ref,Striatum_ref,Allele
ZC104-MPRA3-AP1120-26-Striatum_ref_Barcode_5,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,5,5_ref,ref,ZC104R-MPRA3-AP1120-26-Striatum_ref,AP1120_ref,Striatum_ref,Allele
ZC104-MPRA3-AP1120-26-Striatum_alt1_Barcode_1,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,1,1alt1,lt1,ZC104R-MPRA3-AP1120-26-Striatum_lt1,AP1120_lt1,Striatum_lt1,Allele
ZC104-MPRA3-AP1120-26-Striatum_alt1_Barcode_2,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,2,2alt1,lt1,ZC104R-MPRA3-AP1120-26-Striatum_lt1,AP1120_lt1,Striatum_lt1,Allele
ZC104-MPRA3-AP1120-26-Striatum_alt1_Barcode_3,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,3,3alt1,lt1,ZC104R-MPRA3-AP1120-26-Striatum_lt1,AP1120_lt1,Striatum_lt1,Allele
ZC104-MPRA3-AP1120-26-Striatum_alt1_Barcode_4,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,4,4alt1,lt1,ZC104R-MPRA3-AP1120-26-Striatum_lt1,AP1120_lt1,Striatum_lt1,Allele
ZC104-MPRA3-AP1120-26-Striatum_alt1_Barcode_5,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,5,5alt1,lt1,ZC104R-MPRA3-AP1120-26-Striatum_lt1,AP1120_lt1,Striatum_lt1,Allele
ZC104-MPRA3-AP1120-26-Striatum_alt2_Barcode_1,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,1,1alt2,lt2,ZC104R-MPRA3-AP1120-26-Striatum_lt2,AP1120_lt2,Striatum_lt2,Allele
ZC104-MPRA3-AP1120-26-Striatum_alt2_Barcode_2,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,2,2alt2,lt2,ZC104R-MPRA3-AP1120-26-Striatum_lt2,AP1120_lt2,Striatum_lt2,Allele
ZC104-MPRA3-AP1120-26-Striatum_alt2_Barcode_3,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,3,3alt2,lt2,ZC104R-MPRA3-AP1120-26-Striatum_lt2,AP1120_lt2,Striatum_lt2,Allele
ZC104-MPRA3-AP1120-26-Striatum_alt2_Barcode_4,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,4,4alt2,lt2,ZC104R-MPRA3-AP1120-26-Striatum_lt2,AP1120_lt2,Striatum_lt2,Allele
ZC104-MPRA3-AP1120-26-Striatum_alt2_Barcode_5,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,5,5alt2,lt2,ZC104R-MPRA3-AP1120-26-Striatum_lt2,AP1120_lt2,Striatum_lt2,Allele
ZC104-MPRA3-AP1120-26-Striatum_alt3_Barcode_1,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,1,1alt3,lt3,ZC104R-MPRA3-AP1120-26-Striatum_lt3,AP1120_lt3,Striatum_lt3,Allele
ZC104-MPRA3-AP1120-26-Striatum_alt3_Barcode_2,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,2,2alt3,lt3,ZC104R-MPRA3-AP1120-26-Striatum_lt3,AP1120_lt3,Striatum_lt3,Allele
ZC104-MPRA3-AP1120-26-Striatum_alt3_Barcode_3,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,3,3alt3,lt3,ZC104R-MPRA3-AP1120-26-Striatum_lt3,AP1120_lt3,Striatum_lt3,Allele
ZC104-MPRA3-AP1120-26-Striatum_alt3_Barcode_4,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,4,4alt3,lt3,ZC104R-MPRA3-AP1120-26-Striatum_lt3,AP1120_lt3,Striatum_lt3,Allele
ZC104-MPRA3-AP1120-26-Striatum_alt3_Barcode_5,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,5,5alt3,lt3,ZC104R-MPRA3-AP1120-26-Striatum_lt3,AP1120_lt3,Striatum_lt3,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_motif_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,1,1otif,tif,ZC105R-MPRA3-AP1120-26-Hippocampus_tif,AP1120_tif,Hippocampus_tif,motif
ZC105-MPRA3-AP1120-26-Hippocampus_motif_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,2,2otif,tif,ZC105R-MPRA3-AP1120-26-Hippocampus_tif,AP1120_tif,Hippocampus_tif,motif
ZC105-MPRA3-AP1120-26-Hippocampus_motif_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,3,3otif,tif,ZC105R-MPRA3-AP1120-26-Hippocampus_tif,AP1120_tif,Hippocampus_tif,motif
ZC105-MPRA3-AP1120-26-Hippocampus_motif_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,4,4otif,tif,ZC105R-MPRA3-AP1120-26-Hippocampus_tif,AP1120_tif,Hippocampus_tif,motif
ZC105-MPRA3-AP1120-26-Hippocampus_motif_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,5,5otif,tif,ZC105R-MPRA3-AP1120-26-Hippocampus_tif,AP1120_tif,Hippocampus_tif,motif
ZC105-MPRA3-AP1120-26-Hippocampus_ref_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,1,1_ref,ref,ZC105R-MPRA3-AP1120-26-Hippocampus_ref,AP1120_ref,Hippocampus_ref,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_ref_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,2,2_ref,ref,ZC105R-MPRA3-AP1120-26-Hippocampus_ref,AP1120_ref,Hippocampus_ref,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_ref_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,3,3_ref,ref,ZC105R-MPRA3-AP1120-26-Hippocampus_ref,AP1120_ref,Hippocampus_ref,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_ref_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,4,4_ref,ref,ZC105R-MPRA3-AP1120-26-Hippocampus_ref,AP1120_ref,Hippocampus_ref,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_ref_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,5,5_ref,ref,ZC105R-MPRA3-AP1120-26-Hippocampus_ref,AP1120_ref,Hippocampus_ref,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_alt1_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,1,1alt1,lt1,ZC105R-MPRA3-AP1120-26-Hippocampus_lt1,AP1120_lt1,Hippocampus_lt1,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_alt1_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,2,2alt1,lt1,ZC105R-MPRA3-AP1120-26-Hippocampus_lt1,AP1120_lt1,Hippocampus_lt1,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_alt1_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,3,3alt1,lt1,ZC105R-MPRA3-AP1120-26-Hippocampus_lt1,AP1120_lt1,Hippocampus_lt1,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_alt1_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,4,4alt1,lt1,ZC105R-MPRA3-AP1120-26-Hippocampus_lt1,AP1120_lt1,Hippocampus_lt1,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_alt1_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,5,5alt1,lt1,ZC105R-MPRA3-AP1120-26-Hippocampus_lt1,AP1120_lt1,Hippocampus_lt1,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_alt2_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,1,1alt2,lt2,ZC105R-MPRA3-AP1120-26-Hippocampus_lt2,AP1120_lt2,Hippocampus_lt2,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_alt2_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,2,2alt2,lt2,ZC105R-MPRA3-AP1120-26-Hippocampus_lt2,AP1120_lt2,Hippocampus_lt2,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_alt2_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,3,3alt2,lt2,ZC105R-MPRA3-AP1120-26-Hippocampus_lt2,AP1120_lt2,Hippocampus_lt2,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_alt2_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,4,4alt2,lt2,ZC105R-MPRA3-AP1120-26-Hippocampus_lt2,AP1120_lt2,Hippocampus_lt2,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_alt2_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,5,5alt2,lt2,ZC105R-MPRA3-AP1120-26-Hippocampus_lt2,AP1120_lt2,Hippocampus_lt2,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_alt3_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,1,1alt3,lt3,ZC105R-MPRA3-AP1120-26-Hippocampus_lt3,AP1120_lt3,Hippocampus_lt3,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_alt3_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,2,2alt3,lt3,ZC105R-MPRA3-AP1120-26-Hippocampus_lt3,AP1120_lt3,Hippocampus_lt3,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_alt3_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,3,3alt3,lt3,ZC105R-MPRA3-AP1120-26-Hippocampus_lt3,AP1120_lt3,Hippocampus_lt3,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_alt3_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,4,4alt3,lt3,ZC105R-MPRA3-AP1120-26-Hippocampus_lt3,AP1120_lt3,Hippocampus_lt3,Allele
ZC105-MPRA3-AP1120-26-Hippocampus_alt3_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,5,5alt3,lt3,ZC105R-MPRA3-AP1120-26-Hippocampus_lt3,AP1120_lt3,Hippocampus_lt3,Allele
ZC107-MPRA3-AP1121-26-Cortex_motif_Barcode_1,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,1,1otif,tif,ZC107R-MPRA3-AP1121-26-Cortex_tif,AP1121_tif,Cortex_tif,motif
ZC107-MPRA3-AP1121-26-Cortex_motif_Barcode_2,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,2,2otif,tif,ZC107R-MPRA3-AP1121-26-Cortex_tif,AP1121_tif,Cortex_tif,motif
ZC107-MPRA3-AP1121-26-Cortex_motif_Barcode_3,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,3,3otif,tif,ZC107R-MPRA3-AP1121-26-Cortex_tif,AP1121_tif,Cortex_tif,motif
ZC107-MPRA3-AP1121-26-Cortex_motif_Barcode_4,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,4,4otif,tif,ZC107R-MPRA3-AP1121-26-Cortex_tif,AP1121_tif,Cortex_tif,motif
ZC107-MPRA3-AP1121-26-Cortex_motif_Barcode_5,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,5,5otif,tif,ZC107R-MPRA3-AP1121-26-Cortex_tif,AP1121_tif,Cortex_tif,motif
ZC107-MPRA3-AP1121-26-Cortex_ref_Barcode_1,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,1,1_ref,ref,ZC107R-MPRA3-AP1121-26-Cortex_ref,AP1121_ref,Cortex_ref,Allele
ZC107-MPRA3-AP1121-26-Cortex_ref_Barcode_2,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,2,2_ref,ref,ZC107R-MPRA3-AP1121-26-Cortex_ref,AP1121_ref,Cortex_ref,Allele
ZC107-MPRA3-AP1121-26-Cortex_ref_Barcode_3,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,3,3_ref,ref,ZC107R-MPRA3-AP1121-26-Cortex_ref,AP1121_ref,Cortex_ref,Allele
ZC107-MPRA3-AP1121-26-Cortex_ref_Barcode_4,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,4,4_ref,ref,ZC107R-MPRA3-AP1121-26-Cortex_ref,AP1121_ref,Cortex_ref,Allele
ZC107-MPRA3-AP1121-26-Cortex_ref_Barcode_5,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,5,5_ref,ref,ZC107R-MPRA3-AP1121-26-Cortex_ref,AP1121_ref,Cortex_ref,Allele
ZC107-MPRA3-AP1121-26-Cortex_alt1_Barcode_1,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,1,1alt1,lt1,ZC107R-MPRA3-AP1121-26-Cortex_lt1,AP1121_lt1,Cortex_lt1,Allele
ZC107-MPRA3-AP1121-26-Cortex_alt1_Barcode_2,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,2,2alt1,lt1,ZC107R-MPRA3-AP1121-26-Cortex_lt1,AP1121_lt1,Cortex_lt1,Allele
ZC107-MPRA3-AP1121-26-Cortex_alt1_Barcode_3,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,3,3alt1,lt1,ZC107R-MPRA3-AP1121-26-Cortex_lt1,AP1121_lt1,Cortex_lt1,Allele
ZC107-MPRA3-AP1121-26-Cortex_alt1_Barcode_4,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,4,4alt1,lt1,ZC107R-MPRA3-AP1121-26-Cortex_lt1,AP1121_lt1,Cortex_lt1,Allele
ZC107-MPRA3-AP1121-26-Cortex_alt1_Barcode_5,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,5,5alt1,lt1,ZC107R-MPRA3-AP1121-26-Cortex_lt1,AP1121_lt1,Cortex_lt1,Allele
ZC107-MPRA3-AP1121-26-Cortex_alt2_Barcode_1,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,1,1alt2,lt2,ZC107R-MPRA3-AP1121-26-Cortex_lt2,AP1121_lt2,Cortex_lt2,Allele
ZC107-MPRA3-AP1121-26-Cortex_alt2_Barcode_2,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,2,2alt2,lt2,ZC107R-MPRA3-AP1121-26-Cortex_lt2,AP1121_lt2,Cortex_lt2,Allele
ZC107-MPRA3-AP1121-26-Cortex_alt2_Barcode_3,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,3,3alt2,lt2,ZC107R-MPRA3-AP1121-26-Cortex_lt2,AP1121_lt2,Cortex_lt2,Allele
ZC107-MPRA3-AP1121-26-Cortex_alt2_Barcode_4,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,4,4alt2,lt2,ZC107R-MPRA3-AP1121-26-Cortex_lt2,AP1121_lt2,Cortex_lt2,Allele
ZC107-MPRA3-AP1121-26-Cortex_alt2_Barcode_5,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,5,5alt2,lt2,ZC107R-MPRA3-AP1121-26-Cortex_lt2,AP1121_lt2,Cortex_lt2,Allele
ZC107-MPRA3-AP1121-26-Cortex_alt3_Barcode_1,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,1,1alt3,lt3,ZC107R-MPRA3-AP1121-26-Cortex_lt3,AP1121_lt3,Cortex_lt3,Allele
ZC107-MPRA3-AP1121-26-Cortex_alt3_Barcode_2,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,2,2alt3,lt3,ZC107R-MPRA3-AP1121-26-Cortex_lt3,AP1121_lt3,Cortex_lt3,Allele
ZC107-MPRA3-AP1121-26-Cortex_alt3_Barcode_3,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,3,3alt3,lt3,ZC107R-MPRA3-AP1121-26-Cortex_lt3,AP1121_lt3,Cortex_lt3,Allele
ZC107-MPRA3-AP1121-26-Cortex_alt3_Barcode_4,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,4,4alt3,lt3,ZC107R-MPRA3-AP1121-26-Cortex_lt3,AP1121_lt3,Cortex_lt3,Allele
ZC107-MPRA3-AP1121-26-Cortex_alt3_Barcode_5,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,5,5alt3,lt3,ZC107R-MPRA3-AP1121-26-Cortex_lt3,AP1121_lt3,Cortex_lt3,Allele
ZC108-MPRA3-AP1121-26-Striatum_motif_Barcode_1,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,1,1otif,tif,ZC108R-MPRA3-AP1121-26-Striatum_tif,AP1121_tif,Striatum_tif,motif
ZC108-MPRA3-AP1121-26-Striatum_motif_Barcode_2,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,2,2otif,tif,ZC108R-MPRA3-AP1121-26-Striatum_tif,AP1121_tif,Striatum_tif,motif
ZC108-MPRA3-AP1121-26-Striatum_motif_Barcode_3,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,3,3otif,tif,ZC108R-MPRA3-AP1121-26-Striatum_tif,AP1121_tif,Striatum_tif,motif
ZC108-MPRA3-AP1121-26-Striatum_motif_Barcode_4,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,4,4otif,tif,ZC108R-MPRA3-AP1121-26-Striatum_tif,AP1121_tif,Striatum_tif,motif
ZC108-MPRA3-AP1121-26-Striatum_motif_Barcode_5,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,5,5otif,tif,ZC108R-MPRA3-AP1121-26-Striatum_tif,AP1121_tif,Striatum_tif,motif
ZC108-MPRA3-AP1121-26-Striatum_ref_Barcode_1,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,1,1_ref,ref,ZC108R-MPRA3-AP1121-26-Striatum_ref,AP1121_ref,Striatum_ref,Allele
ZC108-MPRA3-AP1121-26-Striatum_ref_Barcode_2,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,2,2_ref,ref,ZC108R-MPRA3-AP1121-26-Striatum_ref,AP1121_ref,Striatum_ref,Allele
ZC108-MPRA3-AP1121-26-Striatum_ref_Barcode_3,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,3,3_ref,ref,ZC108R-MPRA3-AP1121-26-Striatum_ref,AP1121_ref,Striatum_ref,Allele
ZC108-MPRA3-AP1121-26-Striatum_ref_Barcode_4,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,4,4_ref,ref,ZC108R-MPRA3-AP1121-26-Striatum_ref,AP1121_ref,Striatum_ref,Allele
