,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
ZC100-MPRA3-AP1134-26-Striatum_alt2_Barcode_1,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,1,1alt2,lt2,ZC100R-MPRA3-AP1134-26-Striatum_lt2,AP1134_lt2,Striatum_lt2,Allele
ZC100-MPRA3-AP1134-26-Striatum_alt2_Barcode_2,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,2,2alt2,lt2,ZC100R-MPRA3-AP1134-26-Striatum_lt2,AP1134_lt2,Striatum_lt2,Allele
ZC100-MPRA3-AP1134-26-Striatum_alt2_Barcode_3,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,3,3alt2,lt2,ZC100R-MPRA3-AP1134-26-Striatum_lt2,AP1134_lt2,Striatum_lt2,Allele
ZC100-MPRA3-AP1134-26-Striatum_alt2_Barcode_4,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,4,4alt2,lt2,ZC100R-MPRA3-AP1134-26-Striatum_lt2,AP1134_lt2,Striatum_lt2,Allele
ZC100-MPRA3-AP1134-26-Striatum_alt2_Barcode_5,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,5,5alt2,lt2,ZC100R-MPRA3-AP1134-26-Striatum_lt2,AP1134_lt2,Striatum_lt2,Allele
ZC100-MPRA3-AP1134-26-Striatum_alt3_Barcode_1,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,1,1alt3,lt3,ZC100R-MPRA3-AP1134-26-Striatum_lt3,AP1134_lt3,Striatum_lt3,Allele
ZC100-MPRA3-AP1134-26-Striatum_alt3_Barcode_2,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,2,2alt3,lt3,ZC100R-MPRA3-AP1134-26-Striatum_lt3,AP1134_lt3,Striatum_lt3,Allele
ZC100-MPRA3-AP1134-26-Striatum_alt3_Barcode_3,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,3,3alt3,lt3,ZC100R-MPRA3-AP1134-26-Striatum_lt3,AP1134_lt3,Striatum_lt3,Allele
ZC100-MPRA3-AP1134-26-Striatum_alt3_Barcode_4,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,4,4alt3,lt3,ZC100R-MPRA3-AP1134-26-Striatum_lt3,AP1134_lt3,Striatum_lt3,Allele
ZC100-MPRA3-AP1134-26-Striatum_alt3_Barcode_5,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,5,5alt3,lt3,ZC100R-MPRA3-AP1134-26-Striatum_lt3,AP1134_lt3,Striatum_lt3,Allele
ZC101-MPRA3-AP1134-26-Hippocampus_motif_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,1,1otif,tif,ZC101R-MPRA3-AP1134-26-Hippocampus_tif,AP1134_tif,Hippocampus_tif,motif
ZC101-MPRA3-AP1134-26-Hippocampus_motif_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,2,2otif,tif,ZC101R-MPRA3-AP1134-26-Hippocampus_tif,AP1134_tif,Hippocampus_tif,motif
