,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,SI,LI,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
ZC116-MPRA3-AP1121-26-SI_alt1_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,1,1alt1,lt1,ZC116-MPRA3-AP1121-26-SI_lt1,AP1121_lt1,Small_Intestine_lt1,Allele
ZC116-MPRA3-AP1121-26-SI_alt1_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,2,2alt1,lt1,ZC116-MPRA3-AP1121-26-SI_lt1,AP1121_lt1,Small_Intestine_lt1,Allele
ZC116-MPRA3-AP1121-26-SI_alt1_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,3,3alt1,lt1,ZC116-MPRA3-AP1121-26-SI_lt1,AP1121_lt1,Small_Intestine_lt1,Allele
ZC116-MPRA3-AP1121-26-SI_alt1_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,4,4alt1,lt1,ZC116-MPRA3-AP1121-26-SI_lt1,AP1121_lt1,Small_Intestine_lt1,Allele
ZC116-MPRA3-AP1121-26-SI_alt1_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,5,5alt1,lt1,ZC116-MPRA3-AP1121-26-SI_lt1,AP1121_lt1,Small_Intestine_lt1,Allele
ZC116-MPRA3-AP1121-26-SI_alt2_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,1,1alt2,lt2,ZC116-MPRA3-AP1121-26-SI_lt2,AP1121_lt2,Small_Intestine_lt2,Allele
ZC116-MPRA3-AP1121-26-SI_alt2_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,2,2alt2,lt2,ZC116-MPRA3-AP1121-26-SI_lt2,AP1121_lt2,Small_Intestine_lt2,Allele
ZC116-MPRA3-AP1121-26-SI_alt2_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,3,3alt2,lt2,ZC116-MPRA3-AP1121-26-SI_lt2,AP1121_lt2,Small_Intestine_lt2,Allele
ZC116-MPRA3-AP1121-26-SI_alt2_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,4,4alt2,lt2,ZC116-MPRA3-AP1121-26-SI_lt2,AP1121_lt2,Small_Intestine_lt2,Allele
ZC116-MPRA3-AP1121-26-SI_alt2_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,5,5alt2,lt2,ZC116-MPRA3-AP1121-26-SI_lt2,AP1121_lt2,Small_Intestine_lt2,Allele
