,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,SI,LI,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
ZC119-MPRA3-AP1120-26-LI_alt1_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,5,5alt1,lt1,ZC119-MPRA3-AP1120-26-LI_lt1,AP1120_lt1,Large_Intestine_lt1,Allele
ZC119-MPRA3-AP1120-26-LI_alt2_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,1,1alt2,lt2,ZC119-MPRA3-AP1120-26-LI_lt2,AP1120_lt2,Large_Intestine_lt2,Allele
ZC119-MPRA3-AP1120-26-LI_alt2_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,2,2alt2,lt2,ZC119-MPRA3-AP1120-26-LI_lt2,AP1120_lt2,Large_Intestine_lt2,Allele
ZC119-MPRA3-AP1120-26-LI_alt2_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,3,3alt2,lt2,ZC119-MPRA3-AP1120-26-LI_lt2,AP1120_lt2,Large_Intestine_lt2,Allele
ZC119-MPRA3-AP1120-26-LI_alt2_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,4,4alt2,lt2,ZC119-MPRA3-AP1120-26-LI_lt2,AP1120_lt2,Large_Intestine_lt2,Allele
ZC119-MPRA3-AP1120-26-LI_alt2_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,5,5alt2,lt2,ZC119-MPRA3-AP1120-26-LI_lt2,AP1120_lt2,Large_Intestine_lt2,Allele
ZC119-MPRA3-AP1120-26-LI_alt3_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,1,1alt3,lt3,ZC119-MPRA3-AP1120-26-LI_lt3,AP1120_lt3,Large_Intestine_lt3,Allele
ZC119-MPRA3-AP1120-26-LI_alt3_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,2,2alt3,lt3,ZC119-MPRA3-AP1120-26-LI_lt3,AP1120_lt3,Large_Intestine_lt3,Allele
ZC119-MPRA3-AP1120-26-LI_alt3_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,3,3alt3,lt3,ZC119-MPRA3-AP1120-26-LI_lt3,AP1120_lt3,Large_Intestine_lt3,Allele
ZC119-MPRA3-AP1120-26-LI_alt3_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,4,4alt3,lt3,ZC119-MPRA3-AP1120-26-LI_lt3,AP1120_lt3,Large_Intestine_lt3,Allele
ZC119-MPRA3-AP1120-26-LI_alt3_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,5,5alt3,lt3,ZC119-MPRA3-AP1120-26-LI_lt3,AP1120_lt3,Large_Intestine_lt3,Allele
ZC120-MPRA3-AP1133-26-SI_motif_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,1,1otif,tif,ZC120-MPRA3-AP1133-26-SI_tif,AP1133_tif,Small_Intestine_tif,motif
ZC120-MPRA3-AP1133-26-SI_motif_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,2,2otif,tif,ZC120-MPRA3-AP1133-26-SI_tif,AP1133_tif,Small_Intestine_tif,motif
ZC120-MPRA3-AP1133-26-SI_motif_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,3,3otif,tif,ZC120-MPRA3-AP1133-26-SI_tif,AP1133_tif,Small_Intestine_tif,motif
ZC120-MPRA3-AP1133-26-SI_motif_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,4,4otif,tif,ZC120-MPRA3-AP1133-26-SI_tif,AP1133_tif,Small_Intestine_tif,motif
ZC120-MPRA3-AP1133-26-SI_motif_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,5,5otif,tif,ZC120-MPRA3-AP1133-26-SI_tif,AP1133_tif,Small_Intestine_tif,motif
ZC120-MPRA3-AP1133-26-SI_ref_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,1,1_ref,ref,ZC120-MPRA3-AP1133-26-SI_ref,AP1133_ref,Small_Intestine_ref,Allele
ZC120-MPRA3-AP1133-26-SI_ref_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,2,2_ref,ref,ZC120-MPRA3-AP1133-26-SI_ref,AP1133_ref,Small_Intestine_ref,Allele
ZC120-MPRA3-AP1133-26-SI_ref_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,3,3_ref,ref,ZC120-MPRA3-AP1133-26-SI_ref,AP1133_ref,Small_Intestine_ref,Allele
ZC120-MPRA3-AP1133-26-SI_ref_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,4,4_ref,ref,ZC120-MPRA3-AP1133-26-SI_ref,AP1133_ref,Small_Intestine_ref,Allele
ZC120-MPRA3-AP1133-26-SI_ref_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,5,5_ref,ref,ZC120-MPRA3-AP1133-26-SI_ref,AP1133_ref,Small_Intestine_ref,Allele
ZC120-MPRA3-AP1133-26-SI_alt1_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,1,1alt1,lt1,ZC120-MPRA3-AP1133-26-SI_lt1,AP1133_lt1,Small_Intestine_lt1,Allele
ZC120-MPRA3-AP1133-26-SI_alt1_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,2,2alt1,lt1,ZC120-MPRA3-AP1133-26-SI_lt1,AP1133_lt1,Small_Intestine_lt1,Allele
ZC120-MPRA3-AP1133-26-SI_alt1_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,3,3alt1,lt1,ZC120-MPRA3-AP1133-26-SI_lt1,AP1133_lt1,Small_Intestine_lt1,Allele
ZC120-MPRA3-AP1133-26-SI_alt1_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,4,4alt1,lt1,ZC120-MPRA3-AP1133-26-SI_lt1,AP1133_lt1,Small_Intestine_lt1,Allele
ZC120-MPRA3-AP1133-26-SI_alt1_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,5,5alt1,lt1,ZC120-MPRA3-AP1133-26-SI_lt1,AP1133_lt1,Small_Intestine_lt1,Allele
ZC120-MPRA3-AP1133-26-SI_alt2_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,1,1alt2,lt2,ZC120-MPRA3-AP1133-26-SI_lt2,AP1133_lt2,Small_Intestine_lt2,Allele
ZC120-MPRA3-AP1133-26-SI_alt2_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,2,2alt2,lt2,ZC120-MPRA3-AP1133-26-SI_lt2,AP1133_lt2,Small_Intestine_lt2,Allele
ZC120-MPRA3-AP1133-26-SI_alt2_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,3,3alt2,lt2,ZC120-MPRA3-AP1133-26-SI_lt2,AP1133_lt2,Small_Intestine_lt2,Allele
ZC120-MPRA3-AP1133-26-SI_alt2_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,4,4alt2,lt2,ZC120-MPRA3-AP1133-26-SI_lt2,AP1133_lt2,Small_Intestine_lt2,Allele
ZC120-MPRA3-AP1133-26-SI_alt2_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,5,5alt2,lt2,ZC120-MPRA3-AP1133-26-SI_lt2,AP1133_lt2,Small_Intestine_lt2,Allele
ZC120-MPRA3-AP1133-26-SI_alt3_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,1,1alt3,lt3,ZC120-MPRA3-AP1133-26-SI_lt3,AP1133_lt3,Small_Intestine_lt3,Allele
ZC120-MPRA3-AP1133-26-SI_alt3_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,2,2alt3,lt3,ZC120-MPRA3-AP1133-26-SI_lt3,AP1133_lt3,Small_Intestine_lt3,Allele
ZC120-MPRA3-AP1133-26-SI_alt3_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,3,3alt3,lt3,ZC120-MPRA3-AP1133-26-SI_lt3,AP1133_lt3,Small_Intestine_lt3,Allele
ZC120-MPRA3-AP1133-26-SI_alt3_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,4,4alt3,lt3,ZC120-MPRA3-AP1133-26-SI_lt3,AP1133_lt3,Small_Intestine_lt3,Allele
ZC120-MPRA3-AP1133-26-SI_alt3_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,5,5alt3,lt3,ZC120-MPRA3-AP1133-26-SI_lt3,AP1133_lt3,Small_Intestine_lt3,Allele
ZC121-MPRA3-AP1133-26-LI_motif_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,1,1otif,tif,ZC121-MPRA3-AP1133-26-LI_tif,AP1133_tif,Large_Intestine_tif,motif
ZC121-MPRA3-AP1133-26-LI_motif_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,2,2otif,tif,ZC121-MPRA3-AP1133-26-LI_tif,AP1133_tif,Large_Intestine_tif,motif
ZC121-MPRA3-AP1133-26-LI_motif_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,3,3otif,tif,ZC121-MPRA3-AP1133-26-LI_tif,AP1133_tif,Large_Intestine_tif,motif
ZC121-MPRA3-AP1133-26-LI_motif_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,4,4otif,tif,ZC121-MPRA3-AP1133-26-LI_tif,AP1133_tif,Large_Intestine_tif,motif
ZC121-MPRA3-AP1133-26-LI_motif_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,5,5otif,tif,ZC121-MPRA3-AP1133-26-LI_tif,AP1133_tif,Large_Intestine_tif,motif
ZC121-MPRA3-AP1133-26-LI_ref_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,1,1_ref,ref,ZC121-MPRA3-AP1133-26-LI_ref,AP1133_ref,Large_Intestine_ref,Allele
ZC121-MPRA3-AP1133-26-LI_ref_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,2,2_ref,ref,ZC121-MPRA3-AP1133-26-LI_ref,AP1133_ref,Large_Intestine_ref,Allele
ZC121-MPRA3-AP1133-26-LI_ref_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,3,3_ref,ref,ZC121-MPRA3-AP1133-26-LI_ref,AP1133_ref,Large_Intestine_ref,Allele
ZC121-MPRA3-AP1133-26-LI_ref_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,4,4_ref,ref,ZC121-MPRA3-AP1133-26-LI_ref,AP1133_ref,Large_Intestine_ref,Allele
ZC121-MPRA3-AP1133-26-LI_ref_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,5,5_ref,ref,ZC121-MPRA3-AP1133-26-LI_ref,AP1133_ref,Large_Intestine_ref,Allele
ZC121-MPRA3-AP1133-26-LI_alt1_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,1,1alt1,lt1,ZC121-MPRA3-AP1133-26-LI_lt1,AP1133_lt1,Large_Intestine_lt1,Allele
ZC121-MPRA3-AP1133-26-LI_alt1_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,2,2alt1,lt1,ZC121-MPRA3-AP1133-26-LI_lt1,AP1133_lt1,Large_Intestine_lt1,Allele
ZC121-MPRA3-AP1133-26-LI_alt1_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,3,3alt1,lt1,ZC121-MPRA3-AP1133-26-LI_lt1,AP1133_lt1,Large_Intestine_lt1,Allele
ZC121-MPRA3-AP1133-26-LI_alt1_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,4,4alt1,lt1,ZC121-MPRA3-AP1133-26-LI_lt1,AP1133_lt1,Large_Intestine_lt1,Allele
ZC121-MPRA3-AP1133-26-LI_alt1_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,5,5alt1,lt1,ZC121-MPRA3-AP1133-26-LI_lt1,AP1133_lt1,Large_Intestine_lt1,Allele
ZC121-MPRA3-AP1133-26-LI_alt2_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,1,1alt2,lt2,ZC121-MPRA3-AP1133-26-LI_lt2,AP1133_lt2,Large_Intestine_lt2,Allele
ZC121-MPRA3-AP1133-26-LI_alt2_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,2,2alt2,lt2,ZC121-MPRA3-AP1133-26-LI_lt2,AP1133_lt2,Large_Intestine_lt2,Allele
ZC121-MPRA3-AP1133-26-LI_alt2_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,3,3alt2,lt2,ZC121-MPRA3-AP1133-26-LI_lt2,AP1133_lt2,Large_Intestine_lt2,Allele
ZC121-MPRA3-AP1133-26-LI_alt2_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,4,4alt2,lt2,ZC121-MPRA3-AP1133-26-LI_lt2,AP1133_lt2,Large_Intestine_lt2,Allele
ZC121-MPRA3-AP1133-26-LI_alt2_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,5,5alt2,lt2,ZC121-MPRA3-AP1133-26-LI_lt2,AP1133_lt2,Large_Intestine_lt2,Allele
ZC121-MPRA3-AP1133-26-LI_alt3_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,1,1alt3,lt3,ZC121-MPRA3-AP1133-26-LI_lt3,AP1133_lt3,Large_Intestine_lt3,Allele
ZC121-MPRA3-AP1133-26-LI_alt3_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,2,2alt3,lt3,ZC121-MPRA3-AP1133-26-LI_lt3,AP1133_lt3,Large_Intestine_lt3,Allele
ZC121-MPRA3-AP1133-26-LI_alt3_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,3,3alt3,lt3,ZC121-MPRA3-AP1133-26-LI_lt3,AP1133_lt3,Large_Intestine_lt3,Allele
ZC121-MPRA3-AP1133-26-LI_alt3_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,4,4alt3,lt3,ZC121-MPRA3-AP1133-26-LI_lt3,AP1133_lt3,Large_Intestine_lt3,Allele
ZC121-MPRA3-AP1133-26-LI_alt3_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1133,M,ZC121-MPRA3-AP1133-26-LI,Gut,Gut,0,1,5,5alt3,lt3,ZC121-MPRA3-AP1133-26-LI_lt3,AP1133_lt3,Large_Intestine_lt3,Allele
ZC122-MPRA3-AP1134-26-SI_motif_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,1,1otif,tif,ZC122-MPRA3-AP1134-26-SI_tif,AP1134_tif,Small_Intestine_tif,motif
ZC122-MPRA3-AP1134-26-SI_motif_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,2,2otif,tif,ZC122-MPRA3-AP1134-26-SI_tif,AP1134_tif,Small_Intestine_tif,motif
ZC122-MPRA3-AP1134-26-SI_motif_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,3,3otif,tif,ZC122-MPRA3-AP1134-26-SI_tif,AP1134_tif,Small_Intestine_tif,motif
ZC122-MPRA3-AP1134-26-SI_motif_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,4,4otif,tif,ZC122-MPRA3-AP1134-26-SI_tif,AP1134_tif,Small_Intestine_tif,motif
ZC122-MPRA3-AP1134-26-SI_motif_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,5,5otif,tif,ZC122-MPRA3-AP1134-26-SI_tif,AP1134_tif,Small_Intestine_tif,motif
ZC122-MPRA3-AP1134-26-SI_ref_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,1,1_ref,ref,ZC122-MPRA3-AP1134-26-SI_ref,AP1134_ref,Small_Intestine_ref,Allele
ZC122-MPRA3-AP1134-26-SI_ref_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,2,2_ref,ref,ZC122-MPRA3-AP1134-26-SI_ref,AP1134_ref,Small_Intestine_ref,Allele
ZC122-MPRA3-AP1134-26-SI_ref_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,3,3_ref,ref,ZC122-MPRA3-AP1134-26-SI_ref,AP1134_ref,Small_Intestine_ref,Allele
ZC122-MPRA3-AP1134-26-SI_ref_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,4,4_ref,ref,ZC122-MPRA3-AP1134-26-SI_ref,AP1134_ref,Small_Intestine_ref,Allele
ZC122-MPRA3-AP1134-26-SI_ref_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,5,5_ref,ref,ZC122-MPRA3-AP1134-26-SI_ref,AP1134_ref,Small_Intestine_ref,Allele
ZC122-MPRA3-AP1134-26-SI_alt1_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,1,1alt1,lt1,ZC122-MPRA3-AP1134-26-SI_lt1,AP1134_lt1,Small_Intestine_lt1,Allele
ZC122-MPRA3-AP1134-26-SI_alt1_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,2,2alt1,lt1,ZC122-MPRA3-AP1134-26-SI_lt1,AP1134_lt1,Small_Intestine_lt1,Allele
ZC122-MPRA3-AP1134-26-SI_alt1_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,3,3alt1,lt1,ZC122-MPRA3-AP1134-26-SI_lt1,AP1134_lt1,Small_Intestine_lt1,Allele
ZC122-MPRA3-AP1134-26-SI_alt1_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,4,4alt1,lt1,ZC122-MPRA3-AP1134-26-SI_lt1,AP1134_lt1,Small_Intestine_lt1,Allele
ZC122-MPRA3-AP1134-26-SI_alt1_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,5,5alt1,lt1,ZC122-MPRA3-AP1134-26-SI_lt1,AP1134_lt1,Small_Intestine_lt1,Allele
ZC122-MPRA3-AP1134-26-SI_alt2_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,1,1alt2,lt2,ZC122-MPRA3-AP1134-26-SI_lt2,AP1134_lt2,Small_Intestine_lt2,Allele
ZC122-MPRA3-AP1134-26-SI_alt2_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,2,2alt2,lt2,ZC122-MPRA3-AP1134-26-SI_lt2,AP1134_lt2,Small_Intestine_lt2,Allele
ZC122-MPRA3-AP1134-26-SI_alt2_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,3,3alt2,lt2,ZC122-MPRA3-AP1134-26-SI_lt2,AP1134_lt2,Small_Intestine_lt2,Allele
ZC122-MPRA3-AP1134-26-SI_alt2_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,4,4alt2,lt2,ZC122-MPRA3-AP1134-26-SI_lt2,AP1134_lt2,Small_Intestine_lt2,Allele
ZC122-MPRA3-AP1134-26-SI_alt2_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,5,5alt2,lt2,ZC122-MPRA3-AP1134-26-SI_lt2,AP1134_lt2,Small_Intestine_lt2,Allele
ZC122-MPRA3-AP1134-26-SI_alt3_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,1,1alt3,lt3,ZC122-MPRA3-AP1134-26-SI_lt3,AP1134_lt3,Small_Intestine_lt3,Allele
ZC122-MPRA3-AP1134-26-SI_alt3_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,2,2alt3,lt3,ZC122-MPRA3-AP1134-26-SI_lt3,AP1134_lt3,Small_Intestine_lt3,Allele
ZC122-MPRA3-AP1134-26-SI_alt3_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,3,3alt3,lt3,ZC122-MPRA3-AP1134-26-SI_lt3,AP1134_lt3,Small_Intestine_lt3,Allele
ZC122-MPRA3-AP1134-26-SI_alt3_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,4,4alt3,lt3,ZC122-MPRA3-AP1134-26-SI_lt3,AP1134_lt3,Small_Intestine_lt3,Allele
ZC122-MPRA3-AP1134-26-SI_alt3_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1134,M,ZC122-MPRA3-AP1134-26-SI,Gut,Gut,1,0,5,5alt3,lt3,ZC122-MPRA3-AP1134-26-SI_lt3,AP1134_lt3,Small_Intestine_lt3,Allele
ZC123-MPRA3-AP1134-26-LI_motif_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,1,1otif,tif,ZC123-MPRA3-AP1134-26-LI_tif,AP1134_tif,Large_Intestine_tif,motif
ZC123-MPRA3-AP1134-26-LI_motif_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,2,2otif,tif,ZC123-MPRA3-AP1134-26-LI_tif,AP1134_tif,Large_Intestine_tif,motif
ZC123-MPRA3-AP1134-26-LI_motif_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,3,3otif,tif,ZC123-MPRA3-AP1134-26-LI_tif,AP1134_tif,Large_Intestine_tif,motif
ZC123-MPRA3-AP1134-26-LI_motif_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,4,4otif,tif,ZC123-MPRA3-AP1134-26-LI_tif,AP1134_tif,Large_Intestine_tif,motif
ZC123-MPRA3-AP1134-26-LI_motif_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,5,5otif,tif,ZC123-MPRA3-AP1134-26-LI_tif,AP1134_tif,Large_Intestine_tif,motif
ZC123-MPRA3-AP1134-26-LI_ref_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,1,1_ref,ref,ZC123-MPRA3-AP1134-26-LI_ref,AP1134_ref,Large_Intestine_ref,Allele
