,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Neuron,Control,Replicate,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_1,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Control,NeuronControlPseudobarcodes10,1,1,2,Rep2_iPSCNeuron_ZC131_R,1,1_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_2,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Control,NeuronControlPseudobarcodes10,1,1,2,Rep2_iPSCNeuron_ZC131_R,2,2_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_3,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Control,NeuronControlPseudobarcodes10,1,1,2,Rep2_iPSCNeuron_ZC131_R,3,3_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_4,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Control,NeuronControlPseudobarcodes10,1,1,2,Rep2_iPSCNeuron_ZC131_R,4,4_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_5,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Control,NeuronControlPseudobarcodes10,1,1,2,Rep2_iPSCNeuron_ZC131_R,5,5_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_6,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Control,NeuronControlPseudobarcodes10,1,1,2,Rep2_iPSCNeuron_ZC131_R,6,6_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_7,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Control,NeuronControlPseudobarcodes10,1,1,2,Rep2_iPSCNeuron_ZC131_R,7,7_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_8,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Control,NeuronControlPseudobarcodes10,1,1,2,Rep2_iPSCNeuron_ZC131_R,8,8_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_9,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Control,NeuronControlPseudobarcodes10,1,1,2,Rep2_iPSCNeuron_ZC131_R,9,9_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_10,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Control,NeuronControlPseudobarcodes10,1,1,2,Rep2_iPSCNeuron_ZC131_R,10,10_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_1,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Control,NeuronControlPseudobarcodes10,1,1,3,Rep3_iPSCNeuron_ZC132_R,1,1_ALT,ALT,Rep3_iPSCNeuron_ZC132_R_ALT,Rep3_ALT,iPSCNeuron_ALT
Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_2,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Control,NeuronControlPseudobarcodes10,1,1,3,Rep3_iPSCNeuron_ZC132_R,2,2_ALT,ALT,Rep3_iPSCNeuron_ZC132_R_ALT,Rep3_ALT,iPSCNeuron_ALT
Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_3,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Control,NeuronControlPseudobarcodes10,1,1,3,Rep3_iPSCNeuron_ZC132_R,3,3_ALT,ALT,Rep3_iPSCNeuron_ZC132_R_ALT,Rep3_ALT,iPSCNeuron_ALT
Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_4,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Control,NeuronControlPseudobarcodes10,1,1,3,Rep3_iPSCNeuron_ZC132_R,4,4_ALT,ALT,Rep3_iPSCNeuron_ZC132_R_ALT,Rep3_ALT,iPSCNeuron_ALT
Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_5,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Control,NeuronControlPseudobarcodes10,1,1,3,Rep3_iPSCNeuron_ZC132_R,5,5_ALT,ALT,Rep3_iPSCNeuron_ZC132_R_ALT,Rep3_ALT,iPSCNeuron_ALT
Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_6,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Control,NeuronControlPseudobarcodes10,1,1,3,Rep3_iPSCNeuron_ZC132_R,6,6_ALT,ALT,Rep3_iPSCNeuron_ZC132_R_ALT,Rep3_ALT,iPSCNeuron_ALT
Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_7,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Control,NeuronControlPseudobarcodes10,1,1,3,Rep3_iPSCNeuron_ZC132_R,7,7_ALT,ALT,Rep3_iPSCNeuron_ZC132_R_ALT,Rep3_ALT,iPSCNeuron_ALT
Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_8,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Control,NeuronControlPseudobarcodes10,1,1,3,Rep3_iPSCNeuron_ZC132_R,8,8_ALT,ALT,Rep3_iPSCNeuron_ZC132_R_ALT,Rep3_ALT,iPSCNeuron_ALT
Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_9,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Control,NeuronControlPseudobarcodes10,1,1,3,Rep3_iPSCNeuron_ZC132_R,9,9_ALT,ALT,Rep3_iPSCNeuron_ZC132_R_ALT,Rep3_ALT,iPSCNeuron_ALT
Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_10,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Control,NeuronControlPseudobarcodes10,1,1,3,Rep3_iPSCNeuron_ZC132_R,10,10_ALT,ALT,Rep3_iPSCNeuron_ZC132_R_ALT,Rep3_ALT,iPSCNeuron_ALT
Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_1,iPSCNeuron,MPRA,,Rep4,,Rep4_iPSCNeuron_ZC133_R,Control,NeuronControlPseudobarcodes10,1,1,4,Rep4_iPSCNeuron_ZC133_R,1,1_ALT,ALT,Rep4_iPSCNeuron_ZC133_R_ALT,Rep4_ALT,iPSCNeuron_ALT
Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_2,iPSCNeuron,MPRA,,Rep4,,Rep4_iPSCNeuron_ZC133_R,Control,NeuronControlPseudobarcodes10,1,1,4,Rep4_iPSCNeuron_ZC133_R,2,2_ALT,ALT,Rep4_iPSCNeuron_ZC133_R_ALT,Rep4_ALT,iPSCNeuron_ALT
Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_3,iPSCNeuron,MPRA,,Rep4,,Rep4_iPSCNeuron_ZC133_R,Control,NeuronControlPseudobarcodes10,1,1,4,Rep4_iPSCNeuron_ZC133_R,3,3_ALT,ALT,Rep4_iPSCNeuron_ZC133_R_ALT,Rep4_ALT,iPSCNeuron_ALT
Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_4,iPSCNeuron,MPRA,,Rep4,,Rep4_iPSCNeuron_ZC133_R,Control,NeuronControlPseudobarcodes10,1,1,4,Rep4_iPSCNeuron_ZC133_R,4,4_ALT,ALT,Rep4_iPSCNeuron_ZC133_R_ALT,Rep4_ALT,iPSCNeuron_ALT
Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_5,iPSCNeuron,MPRA,,Rep4,,Rep4_iPSCNeuron_ZC133_R,Control,NeuronControlPseudobarcodes10,1,1,4,Rep4_iPSCNeuron_ZC133_R,5,5_ALT,ALT,Rep4_iPSCNeuron_ZC133_R_ALT,Rep4_ALT,iPSCNeuron_ALT
Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_6,iPSCNeuron,MPRA,,Rep4,,Rep4_iPSCNeuron_ZC133_R,Control,NeuronControlPseudobarcodes10,1,1,4,Rep4_iPSCNeuron_ZC133_R,6,6_ALT,ALT,Rep4_iPSCNeuron_ZC133_R_ALT,Rep4_ALT,iPSCNeuron_ALT
Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_7,iPSCNeuron,MPRA,,Rep4,,Rep4_iPSCNeuron_ZC133_R,Control,NeuronControlPseudobarcodes10,1,1,4,Rep4_iPSCNeuron_ZC133_R,7,7_ALT,ALT,Rep4_iPSCNeuron_ZC133_R_ALT,Rep4_ALT,iPSCNeuron_ALT
Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_8,iPSCNeuron,MPRA,,Rep4,,Rep4_iPSCNeuron_ZC133_R,Control,NeuronControlPseudobarcodes10,1,1,4,Rep4_iPSCNeuron_ZC133_R,8,8_ALT,ALT,Rep4_iPSCNeuron_ZC133_R_ALT,Rep4_ALT,iPSCNeuron_ALT
Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_9,iPSCNeuron,MPRA,,Rep4,,Rep4_iPSCNeuron_ZC133_R,Control,NeuronControlPseudobarcodes10,1,1,4,Rep4_iPSCNeuron_ZC133_R,9,9_ALT,ALT,Rep4_iPSCNeuron_ZC133_R_ALT,Rep4_ALT,iPSCNeuron_ALT
Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_10,iPSCNeuron,MPRA,,Rep4,,Rep4_iPSCNeuron_ZC133_R,Control,NeuronControlPseudobarcodes10,1,1,4,Rep4_iPSCNeuron_ZC133_R,10,10_ALT,ALT,Rep4_iPSCNeuron_ZC133_R_ALT,Rep4_ALT,iPSCNeuron_ALT
