RNA,DNA
Naive_THP1mono_ZC111_R,Naive_THP1mono_ZC111_D
Naive_THP1mono_ZC112_R,Naive_THP1mono_ZC112_D
Naive_THP1mono_ZC113_R,Naive_THP1mono_ZC113_D
Naive_THP1mono_ZC37_R,Naive_THP1mono_ZC60_D
Naive_THP1mono_ZC60_R,Naive_THP1mono_ZC60_D
Naive_THP1mono_ZC90_R,Naive_THP1mono_ZC90_D
