RNA,DNA
IFNB_HMC3Aco_ZC74_R,Naive_HMC3_ZC72_D
IFNB_HMC3Col_ZC74_R,Naive_HMC3_ZC72_D
IFNB_HMC3_ZC22_R,Naive_HMC3_ZC22_D
IFNB_HMC3_ZC4_R,Naive_HMC3_ZC3_D
IFNB_HMC3_ZC69_R,Naive_HMC3_ZC67_D
IFNB_HMC3_ZC79_R,Naive_HMC3_ZC77_D
IFNG_HMC3Aco_ZC73_R,Naive_HMC3_ZC72_D
IFNG_HMC3Col_ZC73_R,Naive_HMC3_ZC72_D
IFNG_HMC3_ZC23_R,Naive_HMC3_ZC22_D
IFNG_HMC3_ZC5_R,Naive_HMC3_ZC3_D
IFNG_HMC3_ZC68_R,Naive_HMC3_ZC67_D
IFNG_HMC3_ZC78_R,Naive_HMC3_ZC77_D
LPSIFNG_HMC3Aco_ZC75_R,Naive_HMC3_ZC72_D
LPSIFNG_HMC3Col_ZC75_R,Naive_HMC3_ZC72_D
LPSIFNG_HMC3_ZC24_R,Naive_HMC3_ZC22_D
LPSIFNG_HMC3_ZC70_R,Naive_HMC3_ZC67_D
LPSIFNG_HMC3_ZC80_R,Naive_HMC3_ZC77_D
Naive_HMC3Aco_ZC72_R,Naive_HMC3_ZC72_D
Naive_HMC3Col_ZC72_R,Naive_HMC3_ZC72_D
Naive_HMC3_ZC2_R,Naive_HMC3_ZC2_D
Naive_HMC3_ZC3_R,Naive_HMC3_ZC3_D
Naive_HMC3_ZC67_R,Naive_HMC3_ZC67_D
Naive_HMC3_ZC77_R,Naive_HMC3_ZC77_D
